variable,n_samples,r2_v267,r2_v214,r2_v267_se,r2_v214_se,r2_v267_ci_low,r2_v267_ci_high,r2_v214_ci_low,r2_v214_ci_high
GE: iso-pentane (ppmv) NGA-FID,268,-0.3553950883458816,-0.2178447973493349,0.012094774991274216,0.012094774991274216,-0.3791008473287791,-0.3316893293629842,-0.24155055633223238,-0.19413903836643742
GE: n-Butane (ppmv) NGA-FID,268,-0.1054993209162216,-0.0379807686202231,0.012094774991274216,0.012094774991274216,-0.12920507989911906,-0.08179356193332414,-0.061686527603120565,-0.014275009637325635
GE: n-hexane (ppmv) NGA-FID,268,-inf,-inf,0.012094774991274216,0.012094774991274216,-inf,-inf,-inf,-inf
GE: n-pentane (ppmv) NGA-FID,268,-inf,-inf,0.012094774991274216,0.012094774991274216,-inf,-inf,-inf,-inf
ICP: Al2O3 (wt%),253,0.5499953010718246,0.4568544957534469,0.04196297529151638,0.04616096462693456,0.4677478695004525,0.6322427326431967,0.36637900508465515,0.5473299864222386
ICP: Al2O3 (wt%) 308.2 nm ,179,0.7588450348257649,0.90691983479795,0.031403368593226164,0.013250890821995515,0.6972944323830417,0.8203956372684882,0.8809480887868388,0.9328915808090612
ICP: Al2O3 (wt%) 396.152 nm ,156,-0.3219267165578403,-0.3977458807558229,0.015852687226703625,0.015852687226703625,-0.35299798352217937,-0.2908554495935012,-0.428817147720162,-0.3666746137914838
ICP: Al2O3 (wt%) 396.2 nm ,290,0.7075974602832416,0.7499217570399794,0.02888718813564976,0.025434012648018273,0.650978571537368,0.7642163490291151,0.7000710922498636,0.7997724218300952
ICP: Ba (ppm),219,0.3333859825780904,0.6130421667026604,0.05201828715610323,0.04094649710557542,0.23143013975212806,0.4353418254040527,0.5327870323757327,0.6932973010295882
ICP: Ba (ppm) 455.4 nm ,150,0.1803088780088672,0.2009153017239524,0.0568385712985356,0.05849027826464599,0.06890527826373741,0.291712477753997,0.08627435632524624,0.3155562471226585
ICP: Ba (ppm) 455.403 nm ,156,0.2482319086661573,0.1003164892598517,0.05997639913265994,0.0456292804059254,0.13067816636614382,0.36578565096617077,0.010883099664237922,0.1897498788554655
ICP: Ba (ppm) 493.4 nm ,240,0.1474446683864398,-0.0061974948812635,0.04226311329429717,0.012780845042484477,0.06460896632961735,0.23028037044326224,-0.031247951164533074,0.018852961402006072
ICP: CaO (wt%),255,0.7825067112467873,0.8065404604073821,0.024096268916310046,0.021760212628796228,0.7352780241708196,0.829735398322755,0.7638904436549415,0.8491904771598228
ICP: CaO (wt%) 315.9 nm ,273,0.5065348738358477,0.6668220286564586,0.0425118312895384,0.03293289586425349,0.42321168450835245,0.589858063163343,0.6022735527625217,0.7313705045503954
ICP: CaO (wt%) 317.9 nm ,259,0.6172750375076075,0.6259505739643385,0.037368551175859736,0.03677723944198828,0.5440326772029224,0.6905173978122926,0.5538671846580415,0.6980339632706355
ICP: CaO (wt%) 317.933 nm ,156,-0.4170389212481808,0.0038010710121887,0.015852687226703625,0.015852687226703625,-0.4481101882125199,-0.3859676542838417,-0.027270195952150404,0.034872337976527806
ICP: CaO (wt%) 422.7 nm ,185,0.3453064813473868,0.2712267962525672,0.05656978628220459,0.055808817961018296,0.2344297002342658,0.4561832624605078,0.16184151304897132,0.38061207945616304
ICP: Co (ppm),182,0.3846662326567673,0.2390183795147387,0.05657793364777578,0.05515490211324471,0.27377348270712676,0.49555898260640785,0.13091477137277907,0.3471219876566983
ICP: Co (ppm) 228.6 nm ,252,0.8628167995866095,0.8570241779483035,0.01605424742774646,0.016675883967995533,0.8313504746282264,0.8942831245449926,0.8243394453710323,0.8897089105255748
