variable,n_samples,n_used,r2_v267,r2_v214
ICP: Sc (ppm) 361.383 nm ,156,156,-0.038780648955334174,-0.1666177713320396
ICP: Sc (ppm) 361.4 nm ,259,259,0.40930316929821764,0.5323042130528486
ICP: SiO2 (wt%),255,255,0.5200220881077903,0.6277563134058549
ICP: SiO2 (wt%) 221.667 nm ,156,156,0.2516181140175572,-0.19580019144080807
ICP: SiO2 (wt%) 250.7 nm ,281,281,0.5959867888106127,0.6132509597974052
ICP: SiO2 (wt%) 251.6 nm ,281,281,0.6232271225710839,0.6388315179994748
ICP: SiO2 (wt%) 288.2 nm ,314,314,0.2050821903496678,0.43030348379152017
ICP: SiO2 251.6 nm ,114,114,0.8090377723665948,0.8368691259972575
ICP: Sr (ppm),249,249,0.6879943488837339,0.6984260509846214
ICP: Sr (ppm) 407.771 nm ,156,156,0.02209660887928111,0.05384755272080366
ICP: Sr (ppm) 407.8 nm ,247,247,0.21852957069931878,0.22819000930350508
ICP: Sr (ppm) 421.6 nm ,382,382,0.5628627214116826,0.5752520214766494
ICP: Sr 407.8 nm ,113,113,0.906411757154157,0.8871599241187557
ICP: TiO2 (wt%),255,255,0.3007962017724751,0.47859051784301054
ICP: TiO2 (wt%) 334.941 nm ,156,156,0.24489072241055543,0.2302083322034616
ICP: TiO2 (wt%) 336.1 nm ,200,200,0.6201501257263093,0.42279000575857795
ICP: TiO2 (wt%) 337.3 nm ,237,237,0.6311918679347255,0.6537173635484341
ICP: TiO2 337.3 nm ,114,114,0.9172055722208277,0.9600049999992606
ICP: V (ppm),255,255,0.623458417937125,0.7694859453598526
ICP: V (ppm) 292.4 nm ,167,167,0.8958450589470044,0.9270412109080383
ICP: V (ppm) 292.401 nm ,156,156,0.3510958755182273,0.11945293976678506
ICP: V (ppm) 310.2 nm ,203,203,0.22229769484400763,0.5034920244369987
ICP: Y (ppm),124,124,0.07263114072253729,-0.02732648558651163
ICP: Y (ppm) 371.029 nm ,156,156,-0.17867109770810363,-0.038456560417805985
ICP: Zn (ppm),234,234,-0.14462460194323645,-0.0711320802248736
ICP: Zn (ppm) 206.2 nm ,143,143,0.0013536953882941072,0.014402612090023803
ICP: Zn (ppm) 213.9 nm ,131,131,-3.027792758132554,-1.8575228570874156
ICP: Zr (ppm),210,210,0.5168690683831435,0.6171765013661313
ICP: Zr (ppm) 327.307 nm ,156,156,-0.3700546544924026,-0.5312110314552849
ICP: Zr (ppm) 339.2 nm ,157,157,0.603285977147642,0.5655134547617521
IW: Alkalinity (mM) ALKALINITY,1711,1711,0.45627958730135876,0.5321094703025226
IW: Ammonium (uM) SPEC ,1253,1253,0.4239227286141496,0.4382476319418722
IW: B (uM) 249.7 nm ICPAES ,219,219,0.5930858604521131,0.4032805224009901
IW: B (uM) 249.8 nm ICPAES ,517,517,0.4515013662987346,0.46129190416006494
IW: B (uM) ICPAES ,329,329,0.49555200649351694,0.6122051524793952
IW: B 249.7 nm ICPAES ,221,221,0.18065682387271287,0.5872198722849857
IW: B 249.8 nm ICPAES ,264,264,0.7078285146628278,0.817862651437691
IW: Ba (uM) 455.4 nm ICPAES ,247,247,0.7411724436096974,-3.9146942783160723
IW: Ba (uM) 493.4 nm ICPAES ,488,488,0.47046605814861553,0.5303608725834266
IW: Ba (uM) ICPAES ,329,329,0.1240350179185038,0.20586786853286354
IW: Ba 455.4 nm ICPAES ,241,241,0.019827741861445758,0.05397417468975152
IW: Ba 493.4 nm ICPAES ,240,240,0.6458816589056726,0.24941516409543818
IW: Bromide (mM) IC ,1777,1777,0.14716359427616943,0.3113492290784593
IW: Ca (mM) 318.127 nm ICPAES ,111,111,0.7178166342281238,0.798778131955058
IW: Ca (mM) 393.4 nm ICPAES ,152,152,0.8165881484037848,0.7166203109115408
IW: Ca (mM) 396.8 nm ICPAES ,152,152,0.8133836507464534,0.7087677567114826
IW: Ca (mM) IC ,1652,1652,0.5721140907537553,0.5726311923164265
IW: Ca (mM) ICPAES ,278,278,0.3350806828136226,0.34318674017776385
IW: Ca 315.9 nm ICPAES ,197,197,0.503949579192999,0.684454803070043
IW: Ca 317.9 nm ICPAES ,214,214,0.6831448633351769,0.8093110780268966
IW: Chloride (mM) IC ,1789,1789,0.04316953582989291,0.3247229912418411
IW: Chloride (mM) TITRA_MAN,1600,1600,0.21461811761252725,0.3046928709609412
IW: Fe (uM) 259.9 nm ICPAES ,261,261,0.1580858039596319,-0.15285900660330753
IW: Fe (uM) ICPAES ,204,204,0.22065632129891122,0.3669995438179474
IW: Fe 238.2 nm ICPAES ,197,197,0.3142760384106629,0.28784673533744143
IW: Fe 239.6 nm ICPAES ,188,188,-18.557854508774174,-2.4756316428183642
IW: Fe 259.9 nm ICPAES ,182,182,-0.9507603676371008,-0.8949695435342329
IW: K (mM) 766.491 nm ICPAES ,111,111,0.6462647751803174,0.6203895280278536
IW: K (mM) 766.5 nm ICPAES ,186,186,0.5854530173073214,0.8532043394561953
IW: K (mM) 769.9 nm ICPAES ,183,183,0.6221810288002834,0.7849998928125019
IW: K (mM) IC ,1578,1578,0.5448773600661848,0.5748931341812313
IW: K (mM) ICPAES ,278,278,0.017909211220046184,0.16029533550183495
IW: K 766.491 nm ICPAES ,103,103,0.574963094642901,0.5786751401841852
IW: K 766.5 nm ICPAES ,178,178,-0.5066353059839945,-0.10667100794681006
IW: K 769.9 nm ICPAES ,250,250,0.42306544494820353,0.6733848501688653
IW: Li (uM) 670.783 nm ICPAES ,118,118,0.5602706909065103,0.4946897763824616
IW: Li (uM) 670.8 nm ICPAES ,469,469,0.4998604783433386,0.628228431600869
IW: Li (uM) ICPAES ,299,299,0.059310623029609655,0.13896253160675232
IW: Li 670.8 nm ICPAES ,311,311,-0.10415443696522875,0.08891290754431169
IW: Mg (mM) 277.983 nm ICPAES ,111,111,0.06356070469722463,0.14753161978344254
IW: Mg (mM) 279.6 nm ICPAES ,182,182,0.40609709913849934,0.6594058306937509
IW: Mg (mM) 280.3 nm ICPAES ,182,182,0.4224823908609847,0.6541200831261635
IW: Mg (mM) IC ,1649,1649,0.2917850382385804,0.37939438442842144
IW: Mg (mM) ICPAES ,278,278,0.04743701826553326,0.11673363895264144
IW: Mg 279.6 nm ICPAES ,116,116,-0.16422882272755235,-0.09290061054470145
IW: Mg 280.3 nm ICPAES ,141,141,0.19057140004780815,0.23518973382431074
IW: Mg 285.2 nm ICPAES ,250,250,0.3879273479714199,0.5754878227028224
IW: Mn (uM) 257.6 nm ICPAES ,477,477,0.28447268891422617,0.5101246336254447
IW: Mn (uM) 259.4 nm ICPAES ,110,110,0.6026497528253264,0.8561960435051739
IW: Mn (uM) ICPAES ,322,322,-0.046410016789773634,0.04119291321749208
IW: Mn 259.4 nm ICPAES ,169,169,-0.29313079498730876,-0.232238217251715
